ID,Traditional,Simplified,Pinyin,POS,Meaning
L3-1160,外文,外文,wàiwén,N,foreign language
L3-1161,外語,外语,wàiyǔ,N,foreign language
L3-1162,玩,玩,wán,VA,"to play, to enjoy"
L3-1162,玩兒,玩儿,wánr,VA,"to play, to enjoy"
L3-1163,完,完,wán,Vs,"to finish, to complete (sth)"
L3-1164,完成,完成,wánchéng,VA,"to accomplish, to complete, to fulfill"
L3-1165,完全,完全,wánquán,Adv,"completely, fully, wholly, absolutely"
L3-1166,晚,晚,wǎn,N,"evening, night"
L3-1167,晚,晚,wǎn,Vs,to be late
L3-1168,碗,碗,wǎn,N,bowl
L3-1169,晚安,晚安,wǎn'ān,Vs,good night
L3-1170,晚餐,晚餐,wǎncān,N,"dinner, supper"
L3-1171,晚飯,晚饭,wǎnfàn,N,"supper, dinner"
L3-1172,晚會,晚会,wǎnhuì,N,evening entertainment/party
L3-1173,晚上,晚上,wǎnshàng,N,evening
L3-1174,萬,万,wàn,Det,ten thousand
L3-1175,往,往,wǎng,Prep,toward
L3-1176,網球,网球,wǎngqiú,N,"tennis, tennis ball"
L3-1177,忘,忘,wàng,Vs,to forget
L3-1178,忘記,忘记,wàngjì,Vs,to forget
L3-1179,危險,危险,wéixiǎn,Vs,"dangerous, perilous"
L3-1180,為,为,wèi,Prep,"because of, for (sb or sth)"
L3-1181,喂,喂,wèi,Vs,"hello, hey"
L3-1182,位,位,wèi,M,individual measure word for people
L3-1183,味道,味道,wèidào,N,"taste, flavor, smell, odor"
L3-1184,未來,未来,wèilái,N,future
L3-1185,為什麼,为什么,wèishénme,Adv,why
L3-1186,位子,位子,wèizi,N,"seat, place"
L3-1187,聞,闻,wén,VA,to smell
L3-1188,文化,文化,wénhuà,N,"culture, civilization, education, literacy"
L3-1189,文學,文学,wénxué,N,literature
L3-1190,文字,文字,wénzì,N,"characters, script, writing, written language, writing style/phraseology"
L3-1191,文章,文章,wénzhāng,N,"essay, article, literary works, writings"
L3-1192,問,问,wèn,VA,to ask
L3-1193,問題,问题,wèntí,N,problem/question
L3-1194,我,我,wǒ,N,"I, self"
L3-1195,我們,我们,wǒmen,N,"we, us"
L3-1196,握手,握手,wòshǒu,VA,to shake (or clasp) hands
L3-1197,屋子,屋子,wūzi,N,house
L3-1198,無聊,无聊,wúliáo,Vs,to be bored; to be boring and uninteresting; to be a nuisance; to be nonsensical
L3-1199,五,五,wǔ,Det,five
L3-1200,午餐,午餐,wǔcān,N,lunch
L3-1201,午飯,午饭,wǔfàn,N,lunch
L3-1202,西,西,xī,N,west
L3-1203,西邊,西边,xībiān,N,west side
L3-1204,西餐,西餐,xīcān,N,"Western-style food, western-style food, western food"
L3-1205,西瓜,西瓜,xīguā,N,watermelon
L3-1206,希望,希望,xīwàng,Vs,"to hope, to wish"
L3-1207,希望,希望,xīwàng,N,"hope, wish"
L3-1208,習慣,习惯,xíguàn,N,habit
L3-1209,習慣,习惯,xíguàn,Vs,be accustomed/used to
L3-1210,洗,洗,xǐ,VA,to wash
L3-1211,喜歡,喜欢,xǐhuān,Vs,to like
L3-1212,洗手間,洗手间,xǐshǒujiān,N,toilet
L3-1213,洗衣機,洗衣机,xǐyījī,N,washing machine
L3-1214,洗澡,洗澡,xǐzǎo,VA,to take (or have) a bath
L3-1215,細,细,xì,Vs,"to be fine, delicate"
L3-1216,下,下,xià,Post,"next, second"
L3-1217,下,下,xià,Det,under (condition/fact etc)
L3-1218,下,下,xià,M,measure word to show the frequency of an action
L3-1219,下,下,xià,VA,"go downwards, descend, alight, go to, exit, leave"
L3-1220,下班,下班,xiàbān,VA,"to get off from work, to go off work"
L3-1221,下車,下车,xiàchē,VA,to get off/out of vehicle
L3-1222,下課,下课,xiàkè,Vs,"to get out of class, end of class"
L3-1223,下來,下来,xiàlái,VA,to come down from a higher place
L3-1224,下來,下来,xiàlái,VA,[aspect]
L3-1225,下面,下面,xiàmiàn,N,"under, below"
L3-1226,下去,下去,xiàqù,VA,go down; descend
L3-1227,夏天,夏天,xiàtiān,N,"summer, summertime"
L3-1228,下午,下午,xiàwǔ,N,afternoon
L3-1229,下雪,下雪,xiàxuě,VA,to snow
L3-1230,下雨,下雨,xiàyǔ,VA,to rain
L3-1231,先,先,xiān,Adv,"first, in advance, before"
L3-1232,先生,先生,xiānshēng,N,"mister, Mr., gentleman, sir, husband"
L3-1233,現代,现代,xiàndài,N,"modern times, contemporary age"
L3-1234,現在,现在,xiànzài,N,"now, right now"
L3-1235,香,香,xiāng,Vs,"to be scented, to be fragrant"
L3-1236,鄉下,乡下,xiāngxià,N,countryside
L3-1237,相信,相信,xiāngxìn,Vs,to believe (in); to trust
L3-1238,箱子,箱子,xiāngzi,N,"chest, box, case, trunk"
L3-1239,想,想,xiǎng,VA,"to think, to miss"
L3-1240,響,响,xiǎng,Vs,to make a sound; loud
L3-1241,想法,想法,xiǎngfǎ,N,idea
L3-1242,向,向,xiàng,Prep,"to, towards"
L3-1243,像,像,xiàng,VA,"to be alike, to be like; to resemble"
L3-1244,消息,消息,xiāoxí,N,"news, information"
L3-1245,小,小,xiǎo,Vs,"small, little, petty, minor; young"
L3-1246,小孩,小孩,xiǎohái,N,child
L3-1246,小孩兒,小孩儿,xiǎoháir,N,child
L3-1246,小孩子,小孩子,xiǎoháizi,N,child
L3-1247,小姐,小姐,xiǎojiě,N,Miss
L3-1248,小朋友,小朋友,xiǎopéngyǒu,N,"children, little boy/girl, child (adult address to child)"
L3-1249,小時,小时,xiǎoshí,N,hour
L3-1250,小說,小说,xiǎoshuō,N,"novel, short story"
L3-1251,小偷,小偷,xiǎotōu,N,"thief, burglar"
L3-1252,小心,小心,xiǎoxīn,Vs,"to take care, be careful"
L3-1253,小學,小学,xiǎoxué,N,"primary school, elementary school"
L3-1254,笑,笑,xiào,VA,"to smile, to laugh"
L3-1255,笑,笑,xiào,VA,to laugh at
L3-1256,笑話,笑话,xiàohuà,N,joke
L3-1257,校長,校长,xiàozhǎng,N,"principal / head of a school, head-master"
L3-1258,些,些,xiē,M,①indefinite measure word for indefinite quantity; ②measure word following a verb or an adjective to indicate the state of an action or matter
L3-1259,些,些,xiē,Adv_P,a little bit
L3-1260,鞋子,鞋子,xiézi,N,shoes
L3-1260,鞋,鞋,xié,N,shoes
L3-1261,寫,写,xiě,VA,to write
L3-1262,寫信,写信,xiěxìn,VA,to write a letter
L3-1263,寫字,写字,xiězì,VA,to write (characters)
L3-1264,謝謝,谢谢,xièxie,Vs,"to thanks, to thank you"
L3-1265,心,心,xīn,N,heart
L3-1266,新,新,xīn,Vs,to be new
L3-1267,辛苦,辛苦,xīnkǔ,Vs,"hard, toilsome, painstaking"
L3-1268,新年,新年,xīnnián,N,New Year
L3-1269,心情,心情,xīnqíng,N,"mood, frame/state of mind"
L3-1270,新聞,新闻,xīnwén,N,news
L3-1271,信,信,xìn,N,"letter, mail, message"
L3-1272,信,信,xìn,Vs,to trust; to believe
L3-1273,信封,信封,xìnfēng,N,envelope
L3-1274,信箱,信箱,xìnxiāng,N,"letter box, mailbox, post-office box"
L3-1275,信心,信心,xìnxīn,N,"confidence, faith"
L3-1276,信用卡,信用卡,xìnyòngkǎ,N,credit card
L3-1277,星,星,xīng,N,stars
L3-1277,星星,星星,xīngxing,N,stars
L3-1278,星期,星期,xīngqí,N,week
L3-1279,星期日,星期日,Xīngqírì,N,Sunday
L3-1280,星期天,星期天,Xīngqítiān,N,Sunday
L3-1281,行,行,xíng,Vs,"to be OK, to be permitted"
L3-1282,姓,姓,xìng,VA,be surnamed
L3-1283,姓,姓,xìng,N,"surname, family/clan name"
L3-1284,姓名,姓名,xìngmíng,N,full name
L3-1285,興趣,兴趣,xìngqù,N,interest
L3-1286,兄弟,兄弟,xiōngdì,N,brother(s)
L3-1287,休息,休息,xiūxí,VA,"to rest, to relax"
L3-1288,需要,需要,xūyào,Vs,"to need, to demand"
L3-1289,需要,需要,xūyào,N,"need, want, require, demand"
L3-1290,許多,许多,xǔduō,Det,"many, a lot of"
L3-1291,選,选,xuǎn,VA,"to choose, to elect"
L3-1292,選擇,选择,xuǎnzé,VA,"to choose, to select"
L3-1293,選擇,选择,xuǎnzé,N,"a choice, selection, option"
L3-1294,學,学,xué,VA,to study
L3-1295,學費,学费,xuéfèi,N,school tuition fees
L3-1296,學期,学期,xuéqí,N,"school term, semester"
L3-1297,學生,学生,xuéshēng,N,student
L3-1298,學習,学习,xuéxí,VA,to study; to learn
L3-1299,學校,学校,xuéxiào,N,"school, educational institution"
L3-1300,雪,雪,xuě,N,snow
L3-1301,呀,呀,yā,P,used in emphasis
L3-1302,牙,牙,yá,N,tooth
L3-1303,牙齒,牙齿,yáchǐ,N,tooth
L3-1304,牙刷,牙刷,yáshuā,N,toothbrush
L3-1305,要求,要求,yāoqiú,VA,"to ask, to request, to demand"
L3-1306,要求,要求,yāoqiú,N,"request, demand"
L3-1307,要,要,yào,Adv,"must, should"
L3-1308,要,要,yào,VA,"want/wish (to), ask (for); demand, request"
L3-1309,藥,药,yào,N,medicine
L3-1310,要緊,要紧,yàojǐn,Vs,"important, essential, critical, serious"
L3-1311,鑰匙,钥匙,yàoshi,N,key
L3-1312,要是,要是,yàoshì,Conj,if
L3-1313,鹽,盐,yán,N,salt
L3-1314,研究,研究,yánjiù,N,"study, research"
L3-1315,研究,研究,yánjiù,VA,"to study, to research"
L3-1316,顏色,颜色,yánsè,N,color
L3-1317,嚴重,严重,yánzhòng,Vs,"serious, grave, critical"
L3-1318,眼睛,眼睛,yǎnjīng,N,eyes
L3-1319,眼鏡,眼镜,yǎnjìng,N,"glasses, spectacles"
L3-1320,羊,羊,yáng,N,"sheep, goat"
L3-1321,陽光,阳光,yángguāng,N,"sunlight, sunshine"
L3-1322,樣,样,yàng,M,①measure word for a variety of material objects; ②measure word for some abstract things
L3-1323,樣樣,样样,yàngyàng,Det,"every kind, everything, each and every, all"
L3-1324,樣子,样子,yàngzi,N,"appearance, shape"
L3-1325,爺爺,爷爷,yéye,N,"grandfather, Grandpa"
L3-1326,也,也,yě,Adv,also
L3-1327,也許,也许,yěxǔ,Adv,"perhaps, probably, maybe"
L3-1328,頁,页,yè,M,partial measure word for one side of a book or magazine
L3-1329,夜,夜,yè,N,"night, evening"
L3-1330,夜裡,夜里,yèlǐ,N,at night
L3-1330,夜裏,夜里,yèlǐ,N,at night
L3-1331,一,一,yī,Det,one
L3-1332,衣服,衣服,yīfú,N,"clothes, clothing"
L3-1333,醫生,医生,yīshēng,N,doctor
L3-1334,醫院,医院,yīyuàn,N,hospital
L3-1335,一半,一半,yībàn,Det,"half, in part"
L3-1335,一半兒,一半儿,yībànr,Det,"half, in part"
L3-1336,一定,一定,yīdìng,Adv,"certainly, indeed, surely"
L3-1337,一共,一共,yīgòng,Adv,altogether
L3-1338,一塊,一块,yīkuài,Adv,together
L3-1338,一塊兒,一块儿,yīkuàir,Adv,together
L3-1339,一切,一切,yīqiè,Det,everything
L3-1340,一下子,一下子,yīxiàzi,N,in a short while
L3-1340,一下兒,一下儿,yīxiàr,N,in a short while
L3-1341,一樣,一样,yīyàng,Vs,"same, equal, similar"
L3-1342,一樣,一样,yīyàng,Post,same
L3-1343,以後,以后,yǐhòu,N,"hereafter, afterward"
L3-1344,以後,以后,yǐhòu,Post,"afterwards, later, future, in the future, hereafter"
L3-1345,已經,已经,yǐjīng,Adv,already
L3-1346,以前,以前,yǐqián,N,"before, formerly, previously"
L3-1347,以前,以前,yǐqián,Post,"langsyne, ago, in the past, formerly, prevenient, before, previously"
L3-1348,以為,以为,yǐwéi,VA,"to think, assume (incorrectly)"
L3-1349,椅子,椅子,yǐzi,N,chair
L3-1350,一,一,yī,Adv,as soon as
L3-1351,一邊,一边,yībiān,Adv,"at the same time, simultaneously; on the one/other hand"
L3-1352,一點,一点,yīdiǎn,Det,"a bit, a little, a crumb, a fraction"
L3-1352,一點兒,一点儿,yīdiǎnr,Det,"a bit, a little, a crumb, a fraction"
L3-1353,一點,一点,yīdiǎn,Adv_P,a bit of
L3-1353,一點兒,一点儿,yīdiǎnr,Adv_P,a bit of
L3-1354,一會兒,一会儿,yīhuǐr,N,"a moment, a short while"
L3-1355,意見,意见,yìjiàn,N,"idea, view, opinion, suggestion"
L3-1356,一起,一起,yīqǐ,Adv,"together, in company, altogether, in all"
L3-1357,意思,意思,yìsi,N,"meaning, idea, definition"
L3-1358,一些,一些,yīxiē,Det,"some, a few"
L3-1359,一直,一直,yīzhí,Adv,"straight; constantly, continuously"
L3-1360,陰,阴,yīn,Vs,(of weather) overcast
L3-1361,陰天,阴天,yīntiān,N,"overcast sky, cloudy day"
L3-1362,因為,因为,yīnwèi,Conj,because
L3-1363,音樂,音乐,yīnyuè,N,music
L3-1364,銀行,银行,yínháng,N,bank
L3-1365,飲料,饮料,yǐnliào,N,"drink, beverage"
L3-1366,應,应,yīng,Adv,"should, ought to"
L3-1367,應該,应该,yīnggāi,Adv,"should, ought to"
L3-1368,英文,英文,Yīngwén,N,English (language)
L3-1369,影響,影响,yǐngxiǎng,N,influence
L3-1370,影響,影响,yǐngxiǎng,VA,"to influence, to affect"
L3-1371,油,油,yóu,N,oil
L3-1372,郵局,邮局,yóujú,N,post office
L3-1373,郵票,邮票,yóupiào,N,postage stamp
L3-1374,尤其,尤其,yóuqí,Adv,especially
L3-1375,游泳,游泳,yóuyǒng,VA,to swim
L3-1376,游泳池,游泳池,yóuyǒngchí,N,swimming pool
L3-1377,有,有,yǒu,V_2,"to have; there is, there are"
L3-1378,有的,有的,yǒude,Det,some
L3-1379,有時候,有时候,yǒushíhòu,Adv,"sometimes, now and then"
L3-1379,有的時候,有的时候,yǒudeshíhòu,Adv,"sometimes, now and then"
L3-1380,有點,有点,yǒudiǎn,Adv,"somewhat, rather, a bit"
L3-1380,有點兒,有点儿,yǒudiǎnr,Adv,"somewhat, rather, a bit"
L3-1381,有空,有空,yǒukòng,Vs,have time (to do sth.)
L3-1382,有名,有名,yǒumíng,Vs,"well-known, famous"
L3-1383,有錢,有钱,yǒuqián,Vs,be rich/wealthy
L3-1384,有趣,有趣,yǒuqù,Vs,"interesting, fascinating, amusing"
L3-1385,有一點,有一点,yǒuyīdiǎn,Adv,"somewhat, rather, a bit"
L3-1385,有一點兒,有一点儿,yǒuyīdiǎnr,Adv,"somewhat, rather, a bit"
L3-1386,有意思,有意思,yǒuyìsi,Vs,to be interesting
L3-1387,有用,有用,yǒuyòng,Vs,to be useful
L3-1388,又,又,yòu,Conj,"and, in addition, but, on the other hand"
L3-1389,又,又,yòu,Adv,"again, moreover"
L3-1390,右,右,yòu,N,right side
L3-1391,右邊,右边,yòubiān,N,"right-hand side, the right"
L3-1392,右手,右手,yòushǒu,N,right hand
L3-1393,永遠,永远,yǒngyuǎn,Adv,"always, forever"
L3-1394,用,用,yòng,VA)(Prep,"to use; using, with"
L3-1395,用功,用功,yònggōng,Vs,"to be studious, industrious, to be hard working"
L3-1396,魚,鱼,yú,N,fish
L3-1396,魚兒,鱼儿,yúr,N,fish
L3-1397,與,与,yǔ,Conj,"and, together with"
L3-1398,與,与,yǔ,Prep,"with, to"
L3-1399,雨,雨,yǔ,N,rain
L3-1400,語法,语法,yǔfǎ,N,grammar
L3-1401,雨傘,雨伞,yǔsǎn,N,umbrella
L3-1402,雨天,雨天,yǔtiān,N,rainy day
L3-1403,語言,语言,yǔyán,N,language
L3-1404,預備,预备,yùbèi,VA,to prepare
L3-1405,預備,预备,yùbèi,VA,"to prepare, to get ready"
L3-1406,遇到,遇到,yùdào,VA,"to run into, encounter, meet"
L3-1407,玉米,玉米,yùmǐ,N,"maize, (Indian) corn"
L3-1408,預習,预习,yùxí,VA,prepare lessons before class
L3-1409,雲,云,yún,N,cloud
L3-1410,運動,运动,yùndòng,N,"sport, exercise"
L3-1411,運動,运动,yùndòng,VA,to exercise
L3-1412,元,元,yuán,M,standard monetary unit in China
L3-1413,圓,圆,yuán,Vs,"to be round, to be circular"
L3-1414,圓,圆,yuán,N,circle
L3-1415,原來,原来,yuánlái,Adv,"originally, formerly"
L3-1416,原諒,原谅,yuánliàng,Vs,"to excuse, to forgive, to pardon"
L3-1417,原因,原因,yuányīn,N,"cause, reason"
L3-1418,遠,远,yuǎn,Vs,to be far from
L3-1419,願意,愿意,yuànyì,Vs,be willing
L3-1420,院子,院子,yuànzi,N,yard
L3-1421,約,约,yuē,VA,to make an appointment
L3-1422,月,月,yuè,N,moon; month
L3-1423,越,越,yuè,Adv,(~A~B) the more A the more B
L3-1424,越來越,越来越,yuèláiyuè,Adv,more and more...
L3-1425,月亮,月亮,yuèliàng,N,moon
L3-1426,在,在,zài,Adv,indicating an action in progress
L3-1427,在,在,zài,Prep,"in, at, on etc"
L3-1428,在,在,zài,VA,"exist, live, be at/in/on, depend on, rest with"
L3-1429,再,再,zài,Adv,"again, once more"
L3-1430,再見,再见,zàijiàn,VA,Good-bye
L3-1431,髒,脏,zāng,Vs,to be dirty
L3-1432,早,早,zǎo,Vs,to be early
L3-1433,早安,早安,zǎo'ān,Vs,good morning
L3-1434,早餐,早餐,zǎocān,N,breakfast
L3-1435,早飯,早饭,zǎofàn,N,breakfast
L3-1436,早上,早上,zǎoshàng,N,morning
L3-1437,早晚,早晚,zǎowǎn,N,"morning and evening, early or late"
L3-1438,怎麼,怎么,zěnme,Adv,how
L3-1439,怎麼辦,怎么办,zěnmebàn,Vs,What now ?
L3-1440,怎麼了,怎么了,zěnmele,Vs,what's wrong?
L3-1441,怎麼樣,怎么样,zěnmeyàng,Vs,How about... ? How's everything ?
L3-1442,怎樣,怎样,zěnyàng,Adv,how?
L3-1443,增加,增加,zēngjiā,Vs,to increase; to raise; to add; to step up
L3-1444,資料,资料,zīliào,N,data
L3-1445,字,字,zì,N,character
L3-1446,字典,字典,zìdiǎn,N,"dictionary, thesaurus"
L3-1447,自己,自己,zìjǐ,N,oneself
L3-1448,自行車,自行车,zìxíngchē,N,bicycle
L3-1449,自由,自由,zìyóu,Vs,"free, unrestrained"
L3-1450,自由,自由,zìyóu,N,"freedom, liberty"
L3-1451,走,走,zǒu,VA,to walk
L3-1452,走路,走路,zǒulù,VA,to walk (in the road or street)
L3-1453,總是,总是,zǒngshì,Adv,always
L3-1454,總統,总统,zǒngtǒng,N,president
L3-1455,足球,足球,zúqiú,N,"soccer, football"
L3-1456,嘴,嘴,zuǐ,N,mouth
L3-1457,嘴巴,嘴巴,zuǐbā,N,mouth
L3-1458,最,最,zuì,Adv,"most, -est"
L3-1459,最好,最好,zuìhǎo,Adv,"had better, it would be best"
L3-1460,最後,最后,zuìhòu,N,
L3-1461,最後,最后,zuìhòu,N,"finally, in the end/the very last"
L3-1462,最近,最近,zuìjìn,N,"recently, lately"
L3-1463,昨天,昨天,zuótiān,N,yesterday
L3-1464,左,左,zuǒ,N,left
L3-1465,左邊,左边,zuǒbiān,N,left
L3-1466,左手,左手,zuǒshǒu,N,left hand
L3-1467,坐,坐,zuò,VA,"sit, take seat"
L3-1468,坐,坐,zuò,VA,travel by (plane/etc)
L3-1469,作,作,zuò,VA,"to do, to make"
L3-1470,做,做,zuò,VA,"to do, to make"
L3-1471,做菜,做菜,zuòcài,VA,to cook
L3-1472,做飯,做饭,zuòfàn,VA,to cook food
L3-1473,做事,做事,zuòshì,VA,"to take care of things, to do tihins, to do work"
L3-1474,作業,作业,zuòyè,N,"school assignment, work, task, operation, production"
L3-1475,摘,摘,zhāi,VA,"to take off, to pick, to pluck"
L3-1476,站,站,zhàn,N,"(train, bus) station"
L3-1477,站,站,zhàn,VA,to stand
L3-1478,張,张,zhāng,M,①individual measure word for furniture with a flat surface; ②individual measure word for the mouth or face of a person or animal
L3-1479,長,长,zhǎng,Vs,
L3-1480,長大,长大,zhǎngdà,Vs,to grow; to grow up
L3-1481,著急,着急,zhāojí,Vs,"to be nervous, anxious"
L3-1482,找,找,zhǎo,VA,"to look for, to search"
L3-1483,找,找,zhǎo,VA,to rerurn change after a purchase
L3-1484,找錢,找钱,zhǎoqián,VA,to give change to sb after a purchase
L3-1485,照,照,zhào,Prep,"according to, in accordance with, towards"
L3-1486,照,照,zhào,VA,to photograph
L3-1487,照顧,照顾,zhàogù,VA,"look after, care for"
L3-1488,照片,照片,zhàopiàn,N,"photo, picture"
L3-1489,照相,照相,zhàoxiàng,VA,to take a picture
L3-1490,照相機,照相机,zhàoxiàngjī,N,camera
L3-1491,著,着,zhe,,"a verbal suffix, indicating the action or the state is continuing"
L3-1492,這,这,zhè,Det,this
L3-1493,這邊,这边,zhèbiān,N,"this side, here"
L3-1494,這兒,这儿,zhèr,N,here
L3-1495,這裡,这里,zhèlǐ,N,here
L3-1495,這裏,这里,zhèlǐ,N,here
L3-1496,這麼,这么,zhème,Adv,"so, such, this way, like this"
L3-1496,這樣,这样,zhèyàng,Adv,"so, such, this way, like this"
L3-1496,這麼樣,这么样,zhèmeyàng,Adv,"so, such, this way, like this"
L3-1497,這些,这些,zhèxiē,Det,these
L3-1498,這樣,这样,zhèyàng,Vs,"such, this kind"
L3-1499,真,真,zhēn,Adv,"really, truly, indeed, clearly"
L3-1500,真,真,zhēn,Vs,"real, true"
L3-1501,真正,真正,zhēnzhèng,Adv,"really, truly"
L3-1502,真正,真正,zhēnzhèng,Vs,"genuine, true, real"
L3-1503,整齊,整齐,zhěngqí,Vs,"in good order, neat, tidy"
L3-1504,正,正,zhèng,Adv,"just (now), right (now)"
L3-1505,正常,正常,zhèngcháng,Vs,"normal, regular"
L3-1506,正確,正确,zhèngquè,Vs,"correct, right, proper"
L3-1507,正在,正在,zhèngzài,Adv,be in process/course of
L3-1508,枝,枝,zhī,M,①individual measure word for flowers and grass; ②individual measure word for rod-shaped article
L3-1509,隻,只,zhī,M,①measure word for the one of two things of the same kind; ②measure word for one of the symetrical limbs or organs of people or animals; ③individual measure word for insects or animals
L3-1510,支,支,zhī,M,①individual measure word for songs etc.; ②individual measure word for troops etc.; ③individual measure word for rod-shaped goods
L3-1511,知道,知道,zhīdào,Vs,to know
L3-1512,直,直,zhí,Vs,"①straight, vertical; ②just, righteous, honest, frank, forthright, stiff, numb"
L3-1513,值得,值得,zhídé,Vs,"to be worth while, worth (doing sth)"
L3-1514,指,指,zhǐ,VA,point at/to/out
L3-1515,紙,纸,zhǐ,N,paper
L3-1516,只,只,zhǐ,Adv,only
L3-1517,只好,只好,zhǐhǎo,Adv,"can only, have no choice but, have to, be forced to"
L3-1518,只要,只要,zhǐyào,Conj,"so long as, provided"
L3-1519,只有,只有,zhǐyǒu,Adv,"can only, have no choice but, to be forced to"
L3-1520,鐘,钟,zhōng,N,"bell, clock"
L3-1521,中,中,zhōng,Post,"among, between, within, during"
L3-1522,中餐,中餐,zhōngcān,N,Chinese meal/food; lunch
L3-1523,中飯,中饭,zhōngfàn,N,"midday meal, lunch"
L3-1524,中間,中间,zhōngjiān,N,"between, among, in the middle of"
L3-1525,鐘頭,钟头,zhōngtóu,N,hour
L3-1526,中文,中文,Zhōngwén,N,Chinese language
L3-1527,中午,中午,zhōngwǔ,N,noon
L3-1528,中心,中心,zhōngxīn,N,"center, heart, central point"
L3-1529,中學,中学,zhōngxué,N,middle school
L3-1530,種,种,zhòng,VA,"plant, cultivate, sow"
L3-1531,種,种,zhǒng,M,①collective measure word for people or things of the same kind; ②collective measure word for abstract things of the same kind
L3-1532,重,重,zhòng,Vs,"①heavy, weighty; ②serious; ③strong, considerable in amount/value"
L3-1533,重要,重要,zhòngyào,Vs,"to be important, to be vital"
L3-1534,週末,周末,zhōumò,N,weekend
L3-1534,周末,周末,zhōumò,N,weekend
L3-1535,豬,猪,zhū,N,pig
L3-1536,豬肉,猪肉,zhūròu,N,pork
L3-1537,煮,煮,zhǔ,VA,"to boil, to cook"
L3-1538,主人,主人,zhǔrén,N,"master, host, owner"
L3-1539,主任,主任,zhǔrèn,N,"director, head, chair"
L3-1540,主要,主要,zhǔyào,Vs,"main, chief, principal, major"
L3-1541,主意,主意,zhǔyì,N,"idea, plan, decision, definite view"
L3-1542,住,住,zhù,VA,"to live, to reside, to stay"
L3-1543,祝,祝,zhù,VA,"to wish (sb good health, good luck etc) to offer good wishes"
L3-1544,注意,注意,zhùyì,Vs,"to pay attention to, to take notice of"
L3-1545,轉,转,zhuǎn,VA,"to convey, pass on, transfer, transmit"
L3-1546,裝,装,zhuāng,VA,"to install, to fit"
L3-1547,準備,准备,zhǔnbèi,VA,to prepare
L3-1548,桌子,桌子,zhuōzi,N,table
L3-1548,桌,桌,zhuō,N,table
L4-0001,唉,唉,āi,P,"inj.: mild exclamation/sigh, Gosh!; My!"
L4-0002,愛好,爱好,àihào,N,"hobby, interest"
L4-0003,愛好,爱好,àihào,Vs,"love, like, be fond of, be keen on"
L4-0004,愛護,爱护,àihù,VA,"cherish, treasure, take good care of"
L4-0005,愛情,爱情,àiqíng,N,love (between man and woman)
L4-0006,愛人,爱人,àirén,N,"lover, sweetheart"
L4-0007,愛惜,爱惜,àixí,Vs,treasure
L4-0008,愛心,爱心,àixīn,N,"mercy, benevolence, pity"
L4-0009,哎呀,哎呀,āiya,P,inj.: of wonder/admiration/shock
L4-0010,哎喲,哎哟,āiyāo,P,inj.: of surprise/pain
L4-0011,安定,安定,āndìng,Vs,stabilize
L4-0012,安慰,安慰,ānwèi,VA,"comfort, console"
L4-0013,安心,安心,ānxīn,Vs,"feel at ease, be relieved, keep one's mind on sth."
L4-0014,按,按,àn,VA,"press, push down"
L4-0015,按,按,àn,Prep,"according to, in accordance with"
L4-0016,暗,暗,àn,Vs,"dark, dim, dull, hidden, secret, unclear"
L4-0017,按時,按时,ànshí,Adv,on time/schedule
L4-0018,按照,按照,ànzhào,Prep,"according to, in the light of, on the basis of"
L4-0019,暗中,暗中,ànzhōng,Adv,"in secret, surreptitiously, in the dark"
L4-0020,骯髒,肮脏,āngzāng,Vs,dirty
L4-0021,熬,熬,áo,VA,"boil, stew, decoct, endure, hold out, stay up late or the whole night"
L4-0022,拔,拔,bá,VA,"uproot, pull out, draw, lift"
L4-0023,把,把,bǎ,M,①Measure word for a quantity of sth that can be held in one hand; ②Measure word for an action done with the hand to indicate its quickness.
L4-0024,把握,把握,bǎwò,N,"assurance, certainty"
L4-0025,把握,把握,bǎwò,VA,grasp firmly
L4-0026,罷工,罢工,bàgōng,VA,go on strike
L4-0027,罷了,罢了,bàle,P,particle: elucidating a previous proposition so as to diminish its effect
L4-0028,白,白,bái,Adv,"in vain, without results"
L4-0028,白白,白白,báibái,Adv,"in vain, without results"
L4-0029,擺,摆,bǎi,VA,"①sway, swing, wave; ②place, put, arrange; ③set up for show; lay bare, display, assume"
L4-0030,擺脫,摆脱,bǎituō,VA,"break away from, cast away (old ideas etc), get rid of, to break out (of)"
L4-0031,敗,败,bài,Vs,"lose, be defeated, beat, ruin"
L4-0032,拜,拜,bài,VA,"do obeisance, salute, make courtesy call"
L4-0033,拜訪,拜访,bàifǎng,VA,"pay visit, call on"
L4-0034,拜年,拜年,bàinián,VA,"pay New Year's call, wish sb. Happy New Year"
L4-0035,拜託,拜托,bàituō,VA,request sb. to do sth.
L4-0036,般,般,bān,Post,"sort, kind, way"
L4-0037,班,班,bān,M,①Measure word for scheduled means of transport; ②Measure word for the work in shifts.
L4-0038,班機,班机,bānjī,N,"airliner, regular air service, scheduled flight"
L4-0039,搬運,搬运,bānyùn,VA,"move, transport"
L4-0040,班長,班长,bānzhǎng,N,"class monitor, squad leader, (work) team leader"
L4-0041,拌,拌,bàn,VA,mix
L4-0042,辦公,办公,bàngōng,VA,"handle official business, work (usu. in an office)"
L4-0043,辦理,办理,bànlǐ,VA,"handle, conduct, transact"
L4-0044,半路,半路,bànlù,N,"halfway, midway"
L4-0045,辦事,办事,bànshì,VA,"handle affairs, work"
