ID,Traditional,Simplified,Pinyin,POS,Meaning,Category,Subcategory,Variants
L1-259,番茄/蕃茄,番茄/蕃茄,fānqié,N,tomato,生活,飲食,"[{""Traditional"": ""番茄"", ""Simplified"": ""番茄"", ""Pinyin"": ""fānqié""}, {""Traditional"": ""蕃茄"", ""Simplified"": ""蕃茄"", ""Pinyin"": ""fānqié""}]"
L1-260,蘋果,苹果,píngguǒ,N,apple,生活,飲食,
L1-261,糖,糖,táng,N,"sugar, candy",生活,飲食,
L1-262,甜,甜,tián,Vs,sweet,生活,飲食,
L1-263,餓,饿,è,Vs,hungry,生活,飲食,
L1-264,吃,吃,chī,V,to eat,生活,飲食,
L1-265,喝,喝,hē,V,to drink,生活,飲食,
L1-266,給,给,gěi,V,to give,生活,飲食,
L1-267,同學,同学,tóngxué,N,classmate,生活,學校,
L1-268,上課,上课,shàngkè,V,to go to class,生活,學校,
L1-269,下課,下课,xiàkè,V,to dismiss,生活,學校,
L1-270,上學,上学,shàngxué,V,to go to school,生活,學校,
L1-271,放假,放假,fàngjià,V,to have day off,生活,學校,
L1-272,放學,放学,fàngxué,V,to finish classes (for the day),生活,學校,
L1-273,遊戲,游戏,yóuxì,N,game,生活,學校,
L1-274,圖,图,tú,N,"picture, drawing",生活,學校,
L1-275,字,字,zì,N,"character, word",生活,學校,
L1-276,書,书,shū,N,book,生活,學校,
L1-277,書包,书包,shūbāo,N,schoolbag,生活,學校,
L1-278,課,课,kè,N,"course, class",生活,學校,
L1-279,課本,课本,kèběn,N,textbook,生活,學校,
L1-280,作業,作业,zuòyè,N,homework,生活,學校,
L1-281,問題,问题,wèntí,N,"question, problem",生活,學校,
L1-282,考試,考试,kǎoshì,N/V,"(to) exam, (to) test",生活,學校,
L1-283,寫,写,xiě,V,to write,生活,學校,
L1-284,學,学,xué,V,"to study, to learn",生活,學校,
L1-285,讀,读,dú,V,to read,生活,學校,
L1-286,念,念,niàn,V,to read out loud,生活,學校,
L1-287,黑板,黑板,hēibǎn,N,blackboard,生活,學校,
L1-288,文具,文具,wénjù,N,stationery,生活,學校,
L1-289,紙,纸,zhǐ,N,paper,生活,學校,
L1-290,筆,笔,bǐ,N,pen,生活,學校,
L1-291,鉛筆,铅笔,qiānbǐ,N,pencil,生活,學校,
L1-292,彩色筆,彩色笔,cǎisèbǐ,N,color pen,生活,學校,
L1-293,尺,尺,chǐ,N,ruler,生活,學校,
L1-294,橡皮/橡皮擦,橡皮/橡皮擦,xiàngpí/xiàngpícā,N,eraser,生活,學校,"[{""Traditional"": ""橡皮"", ""Simplified"": ""橡皮"", ""Pinyin"": ""xiàngpí""}, {""Traditional"": ""橡皮擦"", ""Simplified"": ""橡皮擦"", ""Pinyin"": ""xiàngpícā""}]"
L1-295,剪刀,剪刀,jiǎndāo,N,scissors,生活,學校,
L1-296,剪,剪,jiǎn,V,to cut,生活,學校,
L1-297,貼,贴,tiē,V,to paste,生活,學校,
L1-298,玩,玩,wán,V,to play,生活,休閒活動,
L1-299,追,追,zhuī,V,"to chase after, to pursue",生活,休閒活動,
L1-300,跳舞,跳舞,tiàowǔ,V,to dance,生活,休閒活動,
L1-301,踢,踢,tī,V,to kick,生活,休閒活動,
L1-302,游/游泳,游/游泳,yóu/yóuyǒng,V,to swim,生活,休閒活動,"[{""Traditional"": ""游"", ""Simplified"": ""游"", ""Pinyin"": ""yóu""}, {""Traditional"": ""游泳"", ""Simplified"": ""游泳"", ""Pinyin"": ""yóuyǒng""}]"
L1-303,玩具,玩具,wánjù,N,toy,生活,休閒活動,
L1-304,運動,运动,yùndòng/yùndong,N/V,"sport, (to) exercise",生活,休閒活動,"[{""Traditional"": ""運動"", ""Simplified"": ""运动"", ""Pinyin"": ""yùndòng""}, {""Traditional"": ""運動"", ""Simplified"": ""运动"", ""Pinyin"": ""yùndong""}]"
L1-305,球,球,qiú,N,ball,生活,休閒活動,
L1-306,氣球,气球,qìqiú,N,balloon,生活,休閒活動,
L1-307,皮球,皮球,píqiú,N,ruber ball,生活,休閒活動,
L1-308,足球,足球,zúqiú,N,"soccer, football",生活,休閒活動,
L1-309,棒球,棒球,bàngqiú,N,baseball,生活,休閒活動,
L1-310,籃球,篮球,lánqiú,N,basketball,生活,休閒活動,
L1-311,下棋,下棋,xiàqí,V,to play chess,生活,休閒活動,
L1-312,畫/畫兒,画/画儿,huà/huàr,V/N,"to draw, to paint; picture, drawing, painting",生活,休閒活動,"[{""Traditional"": ""畫"", ""Simplified"": ""画"", ""Pinyin"": ""huà""}, {""Traditional"": ""畫兒"", ""Simplified"": ""画儿"", ""Pinyin"": ""huàr""}]"
L1-313,電影,电影,diànyǐng,N,"film, movie",生活,休閒活動,
L1-314,音樂,音乐,yīnyuè,N,music,生活,休閒活動,
L1-315,鋼琴,钢琴,gāngqín,N,piano,生活,休閒活動,
L1-316,唱,唱,chàng,V,to sing,生活,休閒活動,
L1-317,彈,弹,tán,V,to play (musical instruments),生活,休閒活動,
L1-318,歌,歌,gē,N,song,生活,休閒活動,
L1-319,養,养,yǎng,V,to raise,生活,休閒活動,
L1-320,送,送,sòng,V,"to send, to give",生活,休閒活動,
L1-321,生日,生日,shēngrì,N,birthday,生活,休閒活動,
L1-322,禮物,礼物,lǐwù,N,"gift, present",生活,休閒活動,
L1-323,新年,新年,xīnnián,N,New Year,生活,休閒活動,
L1-324,過年,过年,guònián,N/V,to celebrate or spend New Year,生活,休閒活動,
L1-325,生病,生病,shēngbìng,V,to be sick,生活,健康,
L1-326,感冒,感冒,gǎnmào,V,to catch a cold,生活,健康,
L1-327,打針,打针,dǎzhēn,V,to have an injection,生活,健康,
L1-328,藥,药,yào,N,"medicine, drug",生活,健康,
L1-329,車(子),车(子),chē(zi),N,car,交通,交通工具,"[{""Traditional"": ""車子"", ""Simplified"": ""车子"", ""Pinyin"": ""chēzi""}, {""Traditional"": ""車"", ""Simplified"": ""车"", ""Pinyin"": ""chē""}]"
L1-330,船,船,chuán,N,"boat, ship",交通,交通工具,
L1-331,火車,火车,huǒchē,N,train,交通,交通工具,
L1-332,汽車,汽车,qìchē,N,car,交通,交通工具,
L1-333,飛機,飞机,fēijī,N,airplane,交通,交通工具,
L1-334,公車/公共汽車,公车/公共汽车,gōngchē/gōnggòngqìchē,N,bus,交通,交通工具,"[{""Traditional"": ""公車"", ""Simplified"": ""公车"", ""Pinyin"": ""gōngchē""}, {""Traditional"": ""公共汽車"", ""Simplified"": ""公共汽车"", ""Pinyin"": ""gōnggòngqìchē""}]"
L1-335,腳踏車/自行車,脚踏车/自行车,jiǎotàchē/zìxíngchē,N,bicycle,交通,交通工具,"[{""Traditional"": ""腳踏車"", ""Simplified"": ""脚踏车"", ""Pinyin"": ""jiǎotàchē""}, {""Traditional"": ""自行車"", ""Simplified"": ""自行车"", ""Pinyin"": ""zìxíngchē""}]"
L1-336,到,到,dào,V,"to arrive, to reach, to go to",交通,交通工具,
L1-337,騎,骑,qí,V,to ride,交通,交通工具,
L1-338,過,过,guò,V/Asp,to pass; aspect marker for indicating experience for sth,交通,交通工具,
L1-339,飛,飞,fēi,V,to fly,交通,交通工具,
L1-340,雨,雨,yǔ,N,rain,自然,現象,
L1-341,風,风,fēng,N,wind,自然,現象,
L1-342,雪,雪,xuě,N,snow,自然,現象,
L1-343,雲,云,yún,N,cloud,自然,現象,
L1-344,太陽,太阳,tàiyáng,N,sun,自然,現象,
L1-345,月亮,月亮,yuèliàng/yuèliang,N,moon,自然,現象,"[{""Traditional"": ""月亮"", ""Simplified"": ""月亮"", ""Pinyin"": ""yuèliàng""}, {""Traditional"": ""月亮"", ""Simplified"": ""月亮"", ""Pinyin"": ""yuèliang""}]"
L1-346,星(星),星(星),xīng(xing),N,star,自然,現象,"[{""Traditional"": ""星"", ""Simplified"": ""星"", ""Pinyin"": ""xīng""}, {""Traditional"": ""星星"", ""Simplified"": ""星星"", ""Pinyin"": ""xīngxing""}]"
L1-347,火,火,huǒ,N,fire,自然,現象,
L1-348,水,水,shuǐ,N,water,自然,現象,
L1-349,冰,冰,bīng,N/Vs,ice,自然,現象,
L1-350,春/春天,春/春天,chūn/chūntiān,N,spring,自然,季節,"[{""Traditional"": ""春"", ""Simplified"": ""春"", ""Pinyin"": ""chūn""}, {""Traditional"": ""春天"", ""Simplified"": ""春天"", ""Pinyin"": ""chūntiān""}]"
L1-351,夏/夏天,夏/夏天,xià/xiàtiān,N,summer,自然,季節,"[{""Traditional"": ""夏"", ""Simplified"": ""夏"", ""Pinyin"": ""xià""}, {""Traditional"": ""夏天"", ""Simplified"": ""夏天"", ""Pinyin"": ""xiàtiān""}]"
L1-352,秋/秋天,秋/秋天,qiū/qiūtiān,N,"autumn, fall",自然,季節,"[{""Traditional"": ""秋"", ""Simplified"": ""秋"", ""Pinyin"": ""qiū""}, {""Traditional"": ""秋天"", ""Simplified"": ""秋天"", ""Pinyin"": ""qiūtiān""}]"
L1-353,冬/冬天,冬/冬天,dōng/dōngtiān,N,winter,自然,季節,"[{""Traditional"": ""冬"", ""Simplified"": ""冬"", ""Pinyin"": ""dōng""}, {""Traditional"": ""冬天"", ""Simplified"": ""冬天"", ""Pinyin"": ""dōngtiān""}]"
L1-354,天氣,天气,tiānqì,N,weather,自然,天氣,
L1-355,冷,冷,lěng,Vs,cold,自然,天氣,
L1-356,熱,热,rè,Vs,hot,自然,天氣,
L1-357,陰天,阴天,yīntiān,N,cloudy,自然,天氣,
L1-358,晴天,晴天,qíngtiān,N,sunny,自然,天氣,
L1-359,下雨,下雨,xiàyǔ,V,to rain,自然,天氣,
L1-360,下雪,下雪,xiàxuě,V,to snow,自然,天氣,
L1-361,花,花,huā,N,flower,自然,植物,
L1-362,草,草,cǎo,N,grass,自然,植物,
L1-363,樹,树,shù,N,tree,自然,植物,
L1-364,木/木頭,木/木头,mù/mùtou,N,wood,自然,植物,"[{""Traditional"": ""木"", ""Simplified"": ""木"", ""Pinyin"": ""mù""}, {""Traditional"": ""木頭"", ""Simplified"": ""木头"", ""Pinyin"": ""mùtou""}]"
L1-365,葉(子),叶(子),yè(zi),N,leaf,自然,植物,"[{""Traditional"": ""葉子"", ""Simplified"": ""叶子"", ""Pinyin"": ""yèzi""}, {""Traditional"": ""葉"", ""Simplified"": ""叶"", ""Pinyin"": ""yè""}]"
L1-366,動物,动物,dòngwù,N,animal,自然,動物,
L1-367,(老)虎,(老)虎,(lǎo) hǔ,N,tiger,自然,動物,"[{""Traditional"": ""虎"", ""Simplified"": ""虎"", ""Pinyin"": ""hǔ""}, {""Traditional"": ""老虎"", ""Simplified"": ""老虎"", ""Pinyin"": ""lǎohǔ""}]"
L1-368,猴(子),猴(子),hóu(zi),N,monkey,自然,動物,"[{""Traditional"": ""猴子"", ""Simplified"": ""猴子"", ""Pinyin"": ""hóuzi""}, {""Traditional"": ""猴"", ""Simplified"": ""猴"", ""Pinyin"": ""hóu""}]"
L1-369,馬,马,mǎ,N,horse,自然,動物,
L1-370,牛,牛,niú,N,cow,自然,動物,
L1-371,羊,羊,yáng,N,sheep,自然,動物,
L1-372,豬,猪,zhū,N,pig,自然,動物,
L1-373,狗,狗,gǒu,N,dog,自然,動物,
L1-374,貓,猫,māo,N,cat,自然,動物,
L1-375,(老)鼠,(老)鼠,(lǎo) shǔ,N,"mouse, rat",自然,動物,"[{""Traditional"": ""鼠"", ""Simplified"": ""鼠"", ""Pinyin"": ""shǔ""}, {""Traditional"": ""老鼠"", ""Simplified"": ""老鼠"", ""Pinyin"": ""lǎoshǔ""}]"
L1-376,兔(子),兔(子),tù(zi),N,"rabbit, hare",自然,動物,"[{""Traditional"": ""兔子"", ""Simplified"": ""兔子"", ""Pinyin"": ""tùzi""}, {""Traditional"": ""兔"", ""Simplified"": ""兔"", ""Pinyin"": ""tù""}]"
L1-377,鳥,鸟,niǎo,N,bird,自然,動物,
L1-378,雞,鸡,jī,N,chicken,自然,動物,
L1-379,鴨(子),鸭(子),yā(zi),N,duck,自然,動物,"[{""Traditional"": ""鴨子"", ""Simplified"": ""鸭子"", ""Pinyin"": ""yāzi""}, {""Traditional"": ""鴨"", ""Simplified"": ""鸭"", ""Pinyin"": ""yā""}]"
L1-380,魚,鱼,yú,N,fish,自然,動物,
L1-381,山,山,shān,N,mountain,自然,自然環境,
L1-382,地,地,dì,N,ground,自然,自然環境,
L1-383,天空,天空,tiānkōng,N,sky,自然,自然環境,
L1-384,(大)海,(大)海,(dà) hǎi,N,sea,自然,自然環境,"[{""Traditional"": ""海"", ""Simplified"": ""海"", ""Pinyin"": ""hǎi""}, {""Traditional"": ""大海"", ""Simplified"": ""大海"", ""Pinyin"": ""dàhǎi""}]"
L1-385,海邊,海边,hǎibiān,N,"seashore, sea beach, alongside the sea, coast",自然,自然環境,
L1-386,上(面),上(面),shàng(miàn),N,up; on top of,地方,方位,"[{""Traditional"": ""上"", ""Simplified"": ""上"", ""Pinyin"": ""shàng""}, {""Traditional"": ""上面"", ""Simplified"": ""上面"", ""Pinyin"": ""shàngmiàn""}]"
L1-387,下(面),下(面),xià(miàn),N,down; under,地方,方位,"[{""Traditional"": ""下"", ""Simplified"": ""下"", ""Pinyin"": ""xià""}, {""Traditional"": ""下面"", ""Simplified"": ""下面"", ""Pinyin"": ""xiàmiàn""}]"
L1-388,前(面),前(面),qián(miàn),N,front,地方,方位,"[{""Traditional"": ""前"", ""Simplified"": ""前"", ""Pinyin"": ""qián""}, {""Traditional"": ""前面"", ""Simplified"": ""前面"", ""Pinyin"": ""qiánmiàn""}]"
L1-389,後(面),后(面),hòu(miàn),N,back,地方,方位,"[{""Traditional"": ""後"", ""Simplified"": ""后"", ""Pinyin"": ""hòu""}, {""Traditional"": ""後面"", ""Simplified"": ""后面"", ""Pinyin"": ""hòumiàn""}]"
L1-390,裡(面),里(面),lǐ(miàn),N,inside,地方,方位,"[{""Traditional"": ""裡"", ""Simplified"": ""里"", ""Pinyin"": ""lǐ""}, {""Traditional"": ""裡面"", ""Simplified"": ""里面"", ""Pinyin"": ""lǐmiàn""}]"
L1-391,外(面),外(面),wài(miàn),N,outside,地方,方位,"[{""Traditional"": ""外"", ""Simplified"": ""外"", ""Pinyin"": ""wài""}, {""Traditional"": ""外面"", ""Simplified"": ""外面"", ""Pinyin"": ""wàimiàn""}]"
L1-392,中間,中间,zhōngjiān,N,"center, middle",地方,方位,
L1-393,在,在,zài,Prep/Asp,"in, at, on etc.; progressive aspect marker",地方,方位,
L1-394,來,来,lái,V,to come,地方,方位,
L1-395,去,去,qù,V,to go,地方,方位,
L1-396,回,回,huí,V,to go back to,地方,方位,
L1-397,進,进,jìn,V,to enter,地方,方位,
L1-398,出,出,chū,V,to go out,地方,方位,
L1-399,住,住,zhù,V,to live,地方,方位,
L1-400,哪,哪,nǎ,N,which,地方,方位,
L1-401,哪裡/哪兒,哪里/哪儿,nǎlǐ/nǎr,N,where,地方,方位,"[{""Traditional"": ""哪裡"", ""Simplified"": ""哪里"", ""Pinyin"": ""nǎlǐ""}, {""Traditional"": ""哪兒"", ""Simplified"": ""哪儿"", ""Pinyin"": ""nǎr""}]"
L1-402,這裡/這兒,这里/这儿,zhèlǐ/zhèr,Adv,here,地方,方位,"[{""Traditional"": ""這裡"", ""Simplified"": ""这里"", ""Pinyin"": ""zhèlǐ""}, {""Traditional"": ""這兒"", ""Simplified"": ""这儿"", ""Pinyin"": ""zhèr""}]"
L1-403,那裡/那兒,那里/那儿,nàlǐ/nàr,Adv,there,地方,方位,"[{""Traditional"": ""那裡"", ""Simplified"": ""那里"", ""Pinyin"": ""nàlǐ""}, {""Traditional"": ""那兒"", ""Simplified"": ""那儿"", ""Pinyin"": ""nàr""}]"
L1-404,路,路,lù,N,road,地方,方位,
L1-405,這/這些,这/这些,zhè/zhèixiē,Det,this; these,地方,方位,"[{""Traditional"": ""這"", ""Simplified"": ""这"", ""Pinyin"": ""zhè""}, {""Traditional"": ""這些"", ""Simplified"": ""这些"", ""Pinyin"": ""zhèixiē""}]"
L1-406,那/那些,那/那些,nà/nèixiē,Det,that; those,地方,方位,"[{""Traditional"": ""那"", ""Simplified"": ""那"", ""Pinyin"": ""nà""}, {""Traditional"": ""那些"", ""Simplified"": ""那些"", ""Pinyin"": ""nèixiē""}]"
L1-407,家,家,jiā,N,home,地方,處所,
L1-408,房(子),房(子),fáng(zi),N,house,地方,處所,"[{""Traditional"": ""房子"", ""Simplified"": ""房子"", ""Pinyin"": ""fángzi""}, {""Traditional"": ""房"", ""Simplified"": ""房"", ""Pinyin"": ""fáng""}]"
L1-409,房間,房间,fángjiān,N,room,地方,處所,
L1-410,學校,学校,xuéxiào,N,school,地方,處所,
L1-411,餐廳,餐厅,cāntīng,N,"restaurant, dining room",地方,處所,
L1-412,醫院,医院,yīyuàn,N,hospital,地方,處所,
L1-413,公園,公园,gōngyuán,N,park,地方,處所,
L1-414,花園,花园,huāyuán,N,garden,地方,處所,
L1-415,動物園,动物园,dòngwùyuán,N,zoo,地方,處所,
L1-416,車站,车站,chēzhàn,N,station,地方,處所,
L1-417,市場,市场,shìchǎng,N,market,地方,處所,
L1-418,店,店,diàn,N,"shop, store",地方,處所,
L1-419,商店,商店,shāngdiàn,N,"shop, store",地方,處所,
L1-420,百貨公司,百货公司,bǎihuògōngsī,N,department store,地方,處所,
L1-421,樓,楼,lóu,N,floor,地方,處所,
L1-422,國(家),国(家),guó(jiā),N,"country, state, nation",地方,國家,"[{""Traditional"": ""國"", ""Simplified"": ""国"", ""Pinyin"": ""guó""}, {""Traditional"": ""國家"", ""Simplified"": ""国家"", ""Pinyin"": ""guójiā""}]"
L1-423,中國,中国,Zhōngguó,N,China,地方,國家,
L1-424,台灣,台湾,Táiwān,N,Taiwan,地方,國家,
L1-425,美國,美国,Měiguó,N,the United States,地方,國家,
L1-426,漢語,汉语,Hànyǔ,N,Chinese/Sinitic language(s),地方,語言,
L1-427,英語/英文,英语/英文,Yīngyǔ/Yīngwén,N,English (language),地方,語言,"[{""Traditional"": ""英語"", ""Simplified"": ""英语"", ""Pinyin"": ""Yīngyǔ""}, {""Traditional"": ""英文"", ""Simplified"": ""英文"", ""Pinyin"": ""Yīngwén""}]"
L1-428,華語/華文,华语/华文,Huáyǔ/Huáwén,N,Chinese (language),地方,語言,"[{""Traditional"": ""華語"", ""Simplified"": ""华语"", ""Pinyin"": ""Huáyǔ""}, {""Traditional"": ""華文"", ""Simplified"": ""华文"", ""Pinyin"": ""Huáwén""}]"
L1-429,請,请,qǐng,V,please,常用語,一般,
L1-430,謝(謝),谢(谢),xiè(xie),V,to thank,常用語,一般,"[{""Traditional"": ""謝"", ""Simplified"": ""谢"", ""Pinyin"": ""xiè""}, {""Traditional"": ""謝謝"", ""Simplified"": ""谢谢"", ""Pinyin"": ""xièxie""}]"
L1-431,再見,再见,zàijiàn,V,"Goodbye, or see you again.",常用語,一般,
L1-432,不客氣,不客气,bùkèqì,V,You are welcome.,常用語,一般,
L1-433,沒關係,没关系,méiguānxi,V,Never mind.,常用語,一般,
L1-434,對不起,对不起,duìbuqǐ,V,sorry,常用語,一般,
L1-435,祝,祝,zhù,V,"to bless, to wish",常用語,祝福,
L1-436,對,对,duì,Vs,"right, correct",功能詞,功能詞,
L1-437,是,是,shì,Adv,yes,功能詞,功能詞,
L1-438,不,不,bù,Adv,"no, not",功能詞,功能詞,
L1-439,沒,没,méi,Adv,"no, not",功能詞,功能詞,
L1-440,別,别,bié,Adv,other; don't,功能詞,功能詞,
L1-441,沒有,没有,méiyǒu,Adv,not have,功能詞,功能詞,
L1-442,也,也,yě,Adv,"also, too, as well",功能詞,功能詞,
L1-443,有,有,yǒu,V,"to have, to possess",功能詞,功能詞,
L1-444,要,要,yào,V,"to want/wish (to), to ask (for), to demand, to request",功能詞,功能詞,
L1-445,會,会,huì,V,"will, can, be able to, be good at, be skillful in",功能詞,功能詞,
L1-446,像,像,xiàng,V,"to be like, to resemble",功能詞,功能詞,
L1-447,不用,不用,bùyòng,V,need not,功能詞,功能詞,
L1-448,什麼,什么,shénme,N,what,功能詞,功能詞,
L1-449,怎麼,怎么,zěnme,N,how,功能詞,功能詞,
L1-450,為什麼,为什么,wèishénme,N,why,功能詞,功能詞,
L1-451,怎麼樣,怎么样,zěnmeyàng,N,how,功能詞,功能詞,
L1-452,怎麼辦,怎么办,zěnmebàn,N,what to do,功能詞,功能詞,
L1-453,把,把,bǎ,BA,marking entities which have undergone a certain change of state,功能詞,功能詞,
L1-454,可以,可以,kěyǐ,Adv,"can, may",功能詞,功能詞,
L1-455,都,都,dōu,Adv,all,功能詞,功能詞,
L1-456,和,和,hé/hàn,Prep/Conj,"with, and",功能詞,功能詞,"[{""Traditional"": ""和"", ""Simplified"": ""和"", ""Pinyin"": ""hé""}, {""Traditional"": ""和"", ""Simplified"": ""和"", ""Pinyin"": ""hàn""}]"
L1-457,跟,跟,gēn,Conj/Prep,"and, with",功能詞,功能詞,
L1-458,或,或,huò,Conj,"or, either or",功能詞,功能詞,
L1-459,因為,因为,yīnwèi,Conj,because,功能詞,功能詞,
L1-460,的,的,de,Ptc,possessive particle; common adj. particle; particle: emphasizing an action,功能詞,功能詞,
L1-461,嗎,吗,ma,Ptc,a question particle,功能詞,功能詞,
L1-462,呢,呢,ne,Ptc,a question particle,功能詞,功能詞,
L1-463,喂,喂,wéi,Ptc,"a common telephone or intercom greeting ""hello""",功能詞,功能詞,
L1-464,吧,吧,ba,Ptc,particle implying probability,功能詞,功能詞,
L2-001,姓,姓,xìng,V/N,"surname, family name",人物,人物,
L2-002,家庭,家庭,jiātíng,N,family,人物,家庭,
L2-003,客人,客人,kèrén,N,"guest, visitor",人物,家庭,
L2-004,伯(伯),伯(伯),bó(bo),N,uncle,人物,家庭,"[{""Traditional"": ""伯"", ""Simplified"": ""伯"", ""Pinyin"": ""bó""}, {""Traditional"": ""伯伯"", ""Simplified"": ""伯伯"", ""Pinyin"": ""bóbo""}]"
L2-005,父母,父母,fùmǔ,N,parents,人物,家庭,
L2-006,寶貝,宝贝,bǎobèi,N,baby,人物,家庭,
L2-007,幫,帮,bāng,V,to help,人物,家庭,
L2-008,幫忙,帮忙,bāngmáng,V/N,(to) help,人物,家庭,
L2-009,事/事情,事/事情,shì/shìqíng/shìqing,N,matter,人物,家庭,"[{""Traditional"": ""事"", ""Simplified"": ""事"", ""Pinyin"": ""shì""}, {""Traditional"": ""事情"", ""Simplified"": ""事情"", ""Pinyin"": ""shìqíng""}, {""Traditional"": ""事情"", ""Simplified"": ""事情"", ""Pinyin"": ""shìqing""}]"
L2-010,家事,家事,jiāshì,N,housework,人物,家庭,
L2-011,打掃,打扫,dǎsǎo,V,to clean,人物,家庭,
L2-012,長大,长大,zhǎngdà,V,to grow up,人物,家庭,
L2-013,容易,容易,róngyì,Vs,easy,人物,家庭,
L2-014,簡單,简单,jiǎndān,Vs,simple,人物,家庭,
L2-015,難,难,nán,Vs,difficult,人物,家庭,
L2-016,清楚,清楚,qīngchǔ/qīngchu,Vs,clear,人物,家庭,"[{""Traditional"": ""清楚"", ""Simplified"": ""清楚"", ""Pinyin"": ""qīngchǔ""}, {""Traditional"": ""清楚"", ""Simplified"": ""清楚"", ""Pinyin"": ""qīngchu""}]"
L2-017,心,心,xīn,N,heart,人物,身體部位,
L2-018,背,背,bèi/bēi,N/V,back of body; to carry sth on the back,人物,身體部位,"[{""Traditional"": ""背"", ""Simplified"": ""背"", ""Pinyin"": ""bèi""}, {""Traditional"": ""背"", ""Simplified"": ""背"", ""Pinyin"": ""bēi""}]"
L2-019,動,动,dòng,V,to move,人物,身體動作,
L2-020,活,活,huó,Vs,alive,人物,身體動作,
L2-021,躺,躺,tǎng,V,to lie,人物,身體動作,
L2-022,休息,休息,xiūxí/xiūxi,V,to rest,人物,身體動作,"[{""Traditional"": ""休息"", ""Simplified"": ""休息"", ""Pinyin"": ""xiūxí""}, {""Traditional"": ""休息"", ""Simplified"": ""休息"", ""Pinyin"": ""xiūxi""}]"
L2-023,拉,拉,lā,V,to pull,人物,手部動作,
L2-024,推,推,tuī,V,to push,人物,手部動作,
L2-025,接,接,jiē,V,to catch; to pick up sb,人物,手部動作,
L2-026,抓,抓,zhuā,V,to grab,人物,手部動作,
L2-027,舉,举,jǔ,V,to lift,人物,手部動作,
L2-028,弄,弄,nòng,V,to play with sth,人物,手部動作,
L2-029,掛,挂,guà,V,to hang,人物,手部動作,
L2-030,跳,跳,tiào,V,to jump,人物,腳部動作,
L2-031,香,香,xiāng,Vs,fragrant,人物,鼻子動作,
L2-032,臭,臭,chòu,Vs,stink,人物,口部動作,
L2-033,吹,吹,chuī,V,to blow,人物,口部動作,
L2-034,說話,说话,shuōhuà,V,to speak,人物,口部動作,
L2-035,生氣,生气,shēngqì,Vs,angry,人物,心理活動,
L2-036,高興,高兴,gāoxìng,Vs,happy,人物,心理活動,
L2-037,開心,开心,kāixīn,Vs,happy,人物,心理活動,
L2-038,有趣,有趣,yǒuqù,Vs,interesting,人物,心理活動,
L2-039,緊張,紧张,jǐnzhāng,Vs,nervous,人物,心理活動,
L2-040,奇怪,奇怪,qíguài,Vs,strange,人物,心理活動,
L2-041,疼,疼,téng,Vs,hurt,人物,心理活動,
L2-042,夢,梦,mèng,N/V,(to) dream,人物,心理活動,
L2-043,做夢/作夢,做梦/作梦,zuòmèng,V,to dream,人物,心理活動,"[{""Traditional"": ""做夢"", ""Simplified"": ""做梦"", ""Pinyin"": ""zuòmèng""}, {""Traditional"": ""作夢"", ""Simplified"": ""作梦"", ""Pinyin"": ""zuòmèng""}]"
L2-044,忘,忘,wàng,Vs,to forget,人物,心理活動,
L2-045,想念,想念,xiǎngniàn,Vs,to miss,人物,心理活動,
L2-046,懂,懂,dǒng,Vs,to understand,人物,心理活動,
L2-047,輕,轻,qīng,Vs,light,人物,人格特質,
L2-048,重,重,zhòng,Vs,heavy,人物,人格特質,
L2-049,年紀,年纪,niánjì,N,age,人物,人格特質,
L2-050,年輕,年轻,niánqīng,Vs,young,人物,人格特質,
L2-051,美麗,美丽,měilì,Vs,beautiful,人物,人格特質,
L2-052,勇敢,勇敢,yǒnggǎn,Vs,brave,人物,人格特質,
L2-053,聰明,聪明,cōngmíng,Vs,smart,人物,人格特質,
L2-054,害羞,害羞,hàixiū,Vs,shy,人物,人格特質,
L2-055,牙醫,牙医,yáyī,N,dentist,人物,職業,
L2-056,司機,司机,sījī,N,driver,人物,職業,
L2-057,老闆,老板,lǎobǎn,N,boss,人物,職業,
L2-058,畫家,画家,huàjiā,N,painter,人物,職業,
L2-059,廚師,厨师,chúshī,N,cook,人物,職業,
L2-060,農夫/農民,农夫/农民,nóngfū/nóngmín,N,farmer,人物,職業,"[{""Traditional"": ""農夫"", ""Simplified"": ""农夫"", ""Pinyin"": ""nóngfū""}, {""Traditional"": ""農民"", ""Simplified"": ""农民"", ""Pinyin"": ""nóngmín""}]"
L2-061,歌手/歌星,歌手/歌星,gēshǒu/gēxīng,N,singer,人物,職業,"[{""Traditional"": ""歌手"", ""Simplified"": ""歌手"", ""Pinyin"": ""gēshǒu""}, {""Traditional"": ""歌星"", ""Simplified"": ""歌星"", ""Pinyin"": ""gēxīng""}]"
L2-062,做,做,zuò,Vs,to be,人物,職業,
L2-063,第,第,dì,Det,marker of ordinal numerals,數量,數字,
L2-064,千,千,qiān,Num,thousand,數量,數字,
L2-065,數目,数目,shùmù,N,amount,數量,數字,
L2-066,全部,全部,quánbù,N/Det,"all, whole",數量,數字,
L2-067,一半,一半,yībàn,N/Det,"one half, half",數量,數字,
L2-068,一些,一些,yīxiē,Det,a little bit,數量,數字,
L2-069,一點兒,一点儿,yīdiǎnr,Det/Adv,"a bit, a little",數量,數字,
L2-070,完,完,wán,V,"to use up, to finish, to complete",數量,數字,
